"text_code","class_name","teacher_name",category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12,category_13,category_14,category_15,category_16,category_17,text_length,"language","create_time"
"107-2_221U6940","大數據理論及實務應用","林大溢",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423,"CH","2020-05-12 23:39:13"
"107-2_221U8010","隨機微積分","黃啟瑞",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,"CH","2020-05-12 23:39:13"
"107-2_221U8270","資料科學計算","陳定立",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"CH","2020-05-12 23:39:13"
"107-2_221U8320","高等線性代數二","康明昌",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962,"CH","2020-05-12 23:39:13"
"107-2_221U8340","可除環之有理等式專題二","李秋坤",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511,"CH","2020-05-12 23:39:13"
"107-2_221U8370","代數數論專題討論二","林長壽",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,"CH","2020-05-12 23:39:13"
"107-2_221U8430","李代數","林惠雯",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094,"CH","2020-05-12 23:39:13"
"107-2_221U8440","複幾何分析","張樹城",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554,"CH","2020-05-12 23:39:13"
"107-2_221U8450","離散微分幾何","陳宜良",0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120,"CH","2020-05-12 23:39:13"
"107-2_221U8470","數學與音樂","于  靖",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221,"CH","2020-05-12 23:39:13"
"107-2_221U8480","愛因斯坦相對論思想發展","張海潮",0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,298,"CH","2020-05-12 23:39:13"
"107-2_221U8510","人工智慧在臨床資料的分析與應用","王偉仲",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,"CH","2020-05-12 23:39:13"
"107-2_221U8520","書報討論","于  靖",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506,"CH","2020-05-12 23:39:13"
"107-2_222D0020_01","高等專題研究","洪銘輝",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,"CH","2020-05-12 23:39:13"
"107-2_222D0020_02","高等專題研究","朱國瑞",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380,"CH","2020-05-12 23:39:13"
"107-2_222D0020_03","高等專題研究","邱雅萍",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,"CH","2020-05-12 23:39:13"
"107-2_222D0020_04","高等專題研究","陳義裕",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167,"CH","2020-05-12 23:39:13"
